stock,STT,indicator,2017,2016,2015,2014,2013
AGR,10,Vòng quay tài sản ngắn hạn,4%,11%,11%,14%,12%
AGR,11,Vòng quay vốn chủ sở hữu,3%,7%,8%,13%,18%
AGR,12,Vòng quay Hàng tồn kho,0%,0%,0%,"30,278%","45,834%"
AGR,13,Lợi nhuận trước thuế/Doanh thu thuần,35%,-274%,-126%,12%,6%
AGR,14,Lợi nhuận sau thuế/Doanh thu thuần,35%,-303%,-111%,7%,5%
AGR,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),4%,-24%,-8%,1%,1%
AGR,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),5%,-25%,-9%,1%,1%
AGR,1,Lợi nhuận trên vốn đầu tư (ROIC),128%,-89%,-372%,9%,6%
AGR,2,Tỷ lệ tăng trưởng doanh thu,30%,-21%,-42%,-29%,-53%
AGR,3,Lợi nhuận trên cổ phiếu (EPS),0%,0%,-540%,114%,-68%
AGR,4,Vốn chủ sở hữu,8%,-20%,-8%,1%,-2%
AGR,5,Tiền mặt,-38%,-66%,60%,10%,-26%
AGR,1,Cổ tức tiền mặt,N/A,N/A,N/A,N/A,N/A
AGR,2,Tăng trưởng giá cổ phiếu,110%,-27%,-44%,39%,-13%
ALV,1,Tài sản ngắn hạn/Tổng tài sản,86%,94%,91%,75%,74%
ALV,2,Tài sản dài hạn/Tổng tài sản,14%,6%,9%,25%,26%
ALV,3,Nợ phải trả/Tổng nguồn vốn,60%,42%,34%,23%,31%
ALV,4,Nợ phải trả/Vốn chủ sở hữu,148%,72%,51%,30%,44%
ALV,5,Vốn chủ sở hữu/Tổng nguồn vốn,40%,58%,66%,77%,69%
ALV,6,Thanh toán hiện hành,145%,225%,269%,328%,241%
ALV,7,Thanh toán nhanh,114%,215%,233%,301%,199%
ALV,8,Thanh toán nợ ngắn hạn,17%,3%,22%,16%,6%
ALV,9,Vòng quay Tổng tài sản,36%,75%,73%,17%,51%
ALV,10,Vòng quay tài sản ngắn hạn,41%,81%,87%,22%,71%
ALV,11,Vòng quay vốn chủ sở hữu,75%,122%,103%,23%,76%
ALV,12,Vòng quay Hàng tồn kho,214%,815%,639%,130%,257%
ALV,13,Lợi nhuận trước thuế/Doanh thu thuần,9%,8%,9%,14%,5%
ALV,14,Lợi nhuận sau thuế/Doanh thu thuần,8%,6%,7%,12%,5%
ALV,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),7%,4%,5%,2%,2%
ALV,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),18%,7%,7%,2%,3%
ALV,1,Lợi nhuận trên vốn đầu tư (ROIC),9%,7%,9%,17%,6%
ALV,2,Tỷ lệ tăng trưởng doanh thu,326%,28%,472%,-62%,27%
ALV,3,Lợi nhuận trên cổ phiếu (EPS),223%,2%,246%,8%,-33%
ALV,4,Vốn chủ sở hữu,57%,8%,8%,54%,3%
ALV,5,Tiền mặt,"1,324%",-76%,155%,180%,-48%
ALV,1,Cổ tức tiền mặt,N/A,N/A,N/A,N/A,N/A
ALV,2,Tăng trưởng giá cổ phiếu,465%,-47%,-7%,42%,18%
AMD,1,Tài sản ngắn hạn/Tổng tài sản,57%,65%,45%,47%,99%
AMD,2,Tài sản dài hạn/Tổng tài sản,43%,35%,55%,53%,1%
AMD,3,Nợ phải trả/Tổng nguồn vốn,38%,44%,29%,27%,64%
AMD,4,Nợ phải trả/Vốn chủ sở hữu,62%,78%,41%,39%,175%
AMD,5,Vốn chủ sở hữu/Tổng nguồn vốn,62%,56%,71%,70%,36%
AMD,6,Thanh toán hiện hành,200%,170%,163%,182%,156%
AMD,7,Thanh toán nhanh,178%,140%,112%,169%,156%
AMD,8,Thanh toán nợ ngắn hạn,7%,12%,17%,14%,0%
AMD,9,Vòng quay Tổng tài sản,18%,153%,213%,173%,108%
AMD,10,Vòng quay tài sản ngắn hạn,33%,258%,467%,313%,110%
AMD,11,Vòng quay vốn chủ sở hữu,27%,253%,303%,270%,256%
AMD,12,Vòng quay Hàng tồn kho,235%,"1,165%","2,267%","5,828%","8,541%"
AMD,13,Lợi nhuận trước thuế/Doanh thu thuần,7%,4%,3%,6%,7%
AMD,14,Lợi nhuận sau thuế/Doanh thu thuần,5%,3%,2%,4%,5%
AMD,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),3%,3%,5%,4%,3%
AMD,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),5%,6%,7%,6%,9%
AMD,1,Lợi nhuận trên vốn đầu tư (ROIC),6%,3%,3%,4%,6%
AMD,2,Tỷ lệ tăng trưởng doanh thu,-41%,40%,116%,760%,-100%
AMD,3,Lợi nhuận trên cổ phiếu (EPS),-21%,77%,"2,585%",-86%,"4,950%"
AMD,4,Vốn chủ sở hữu,7%,104%,12%,865%,229%
AMD,5,Tiền mặt,-43%,157%,49%,"18,672%",-86%
AMD,1,Cổ tức tiền mặt,N/A,N/A,N/A,N/A,N/A
AMD,2,Tăng trưởng giá cổ phiếu,-38%,62%,-38%,8%,N/A
ANV,1,Tài sản ngắn hạn/Tổng tài sản,54%,63%,56%,57%,57%
ANV,2,Tài sản dài hạn/Tổng tài sản,46%,37%,44%,43%,43%
ANV,3,Nợ phải trả/Tổng nguồn vốn,48%,57%,60%,59%,51%
ANV,4,Nợ phải trả/Vốn chủ sở hữu,92%,131%,153%,146%,106%
ANV,5,Vốn chủ sở hữu/Tổng nguồn vốn,52%,43%,40%,41%,49%
ANV,6,Thanh toán hiện hành,123%,128%,111%,103%,116%
ANV,7,Thanh toán nhanh,40%,48%,32%,41%,53%
ANV,8,Thanh toán nợ ngắn hạn,1%,1%,1%,0%,4%
ANV,9,Vòng quay Tổng tài sản,27%,90%,76%,90%,98%
ANV,10,Vòng quay tài sản ngắn hạn,47%,151%,134%,157%,166%
ANV,11,Vòng quay vốn chủ sở hữu,56%,217%,188%,204%,184%
ANV,12,Vòng quay Hàng tồn kho,62%,197%,172%,232%,267%
ANV,13,Lợi nhuận trước thuế/Doanh thu thuần,5%,1%,0%,2%,0%
ANV,14,Lợi nhuận sau thuế/Doanh thu thuần,5%,0%,0%,2%,0%
ANV,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),4%,0%,0%,2%,0%
ANV,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),7%,1%,0%,5%,0%
ANV,1,Lợi nhuận trên vốn đầu tư (ROIC),5%,1%,0%,3%,0%
ANV,2,Tỷ lệ tăng trưởng doanh thu,1%,13%,-9%,8%,46%
ANV,3,Lợi nhuận trên cổ phiếu (EPS),0%,341%,-93%,539%,-72%
ANV,4,Vốn chủ sở hữu,2%,1%,-4%,-1%,-4%
ANV,5,Tiền mặt,64%,72%,43%,-85%,-23%
ANV,1,Cổ tức tiền mặt,N/A,9%,N/A,9%,9%
ANV,2,Tăng trưởng giá cổ phiếu,271%,-31%,-11%,27%,-1%
APC,1,Tài sản ngắn hạn/Tổng tài sản,33%,17%,17%,17%,15%
APC,2,Tài sản dài hạn/Tổng tài sản,67%,83%,83%,83%,85%
APC,3,Nợ phải trả/Tổng nguồn vốn,8%,11%,18%,23%,29%
APC,4,Nợ phải trả/Vốn chủ sở hữu,9%,13%,22%,29%,41%
APC,5,Vốn chủ sở hữu/Tổng nguồn vốn,92%,89%,82%,77%,71%
APC,6,Thanh toán hiện hành,440%,178%,118%,137%,128%
APC,7,Thanh toán nhanh,439%,177%,118%,136%,127%
APC,8,Thanh toán nợ ngắn hạn,324%,71%,48%,75%,33%
APC,9,Vòng quay Tổng tài sản,16%,46%,45%,44%,39%
APC,10,Vòng quay tài sản ngắn hạn,65%,267%,262%,275%,289%
APC,11,Vòng quay vốn chủ sở hữu,18%,54%,56%,59%,59%
APC,12,Vòng quay Hàng tồn kho,"8,853%","35,164%","17,498%","13,603%","15,652%"
APC,13,Lợi nhuận trước thuế/Doanh thu thuần,59%,46%,35%,32%,20%
APC,14,Lợi nhuận sau thuế/Doanh thu thuần,47%,37%,27%,26%,17%
APC,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),21%,17%,12%,11%,7%
APC,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),23%,19%,14%,15%,10%
APC,1,Lợi nhuận trên vốn đầu tư (ROIC),171%,86%,57%,53%,32%
APC,2,Tỷ lệ tăng trưởng doanh thu,43%,8%,4%,7%,-9%
APC,3,Lợi nhuận trên cổ phiếu (EPS),62%,52%,13%,70%,8%
APC,4,Vốn chủ sở hữu,23%,14%,11%,9%,3%
APC,5,Tiền mặt,248%,4%,-21%,140%,18%
APC,1,Cổ tức tiền mặt,N/A,5%,5%,5%,10%
APC,2,Tăng trưởng giá cổ phiếu,275%,3%,8%,39%,42%
APG,1,Tài sản ngắn hạn/Tổng tài sản,98%,98%,97%,96%,96%
APG,2,Tài sản dài hạn/Tổng tài sản,2%,2%,3%,4%,4%
APG,3,Nợ phải trả/Tổng nguồn vốn,2%,8%,12%,17%,30%
APG,4,Nợ phải trả/Vốn chủ sở hữu,2%,8%,13%,21%,44%
APG,5,Vốn chủ sở hữu/Tổng nguồn vốn,98%,92%,88%,83%,70%
APG,6,Thanh toán hiện hành,"6,422%","1,289%",844%,555%,315%
APG,7,Thanh toán nhanh,"6,422%","1,289%",844%,555%,315%
APG,8,Thanh toán nợ ngắn hạn,"1,462%",369%,259%,179%,151%
APG,9,Vòng quay Tổng tài sản,1%,3%,22%,5%,10%
APG,10,Vòng quay tài sản ngắn hạn,1%,4%,23%,5%,10%
APG,11,Vòng quay vốn chủ sở hữu,1%,4%,26%,6%,12%
APG,12,Vòng quay Hàng tồn kho,0%,0%,0%,0%,0%
APG,13,Lợi nhuận trước thuế/Doanh thu thuần,7%,2%,75%,122%,40%
APG,14,Lợi nhuận sau thuế/Doanh thu thuần,7%,2%,75%,122%,40%
APG,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),3%,0%,16%,6%,3%
APG,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),3%,0%,18%,7%,5%
APG,1,Lợi nhuận trên vốn đầu tư (ROIC),23%,335%,753%,-92%,108%
APG,2,Tỷ lệ tăng trưởng doanh thu,5%,-84%,398%,-46%,57%
APG,3,Lợi nhuận trên cổ phiếu (EPS),-82%,-100%,206%,65%,914%
APG,4,Vốn chủ sở hữu,3%,0%,22%,8%,5%
APG,5,Tiền mặt,-27%,-10%,10%,-39%,"2,801%"
APG,1,Cổ tức tiền mặt,N/A,N/A,N/A,N/A,N/A
APG,2,Tăng trưởng giá cổ phiếu,-6%,26%,-12%,21%,68%
APG,1,Tài sản ngắn hạn/Tổng tài sản,98%,98%,97%,96%,96%
APG,2,Tài sản dài hạn/Tổng tài sản,2%,2%,3%,4%,4%
APG,3,Nợ phải trả/Tổng nguồn vốn,2%,8%,12%,17%,30%
APG,4,Nợ phải trả/Vốn chủ sở hữu,2%,8%,13%,21%,44%
APG,5,Vốn chủ sở hữu/Tổng nguồn vốn,98%,92%,88%,83%,70%
APG,6,Thanh toán hiện hành,"6,422%","1,289%",844%,555%,315%
APG,7,Thanh toán nhanh,"6,422%","1,289%",844%,555%,315%
APG,8,Thanh toán nợ ngắn hạn,"1,462%",369%,259%,179%,151%
APG,9,Vòng quay Tổng tài sản,1%,3%,22%,5%,10%
APG,10,Vòng quay tài sản ngắn hạn,1%,4%,23%,5%,10%
APG,11,Vòng quay vốn chủ sở hữu,1%,4%,26%,6%,12%
APG,12,Vòng quay Hàng tồn kho,0%,0%,0%,0%,0%
APG,13,Lợi nhuận trước thuế/Doanh thu thuần,7%,2%,75%,122%,40%
APG,14,Lợi nhuận sau thuế/Doanh thu thuần,7%,2%,75%,122%,40%
APG,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),3%,0%,16%,6%,3%
APG,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),3%,0%,18%,7%,5%
APG,1,Lợi nhuận trên vốn đầu tư (ROIC),23%,335%,753%,-92%,108%
APG,2,Tỷ lệ tăng trưởng doanh thu,5%,-84%,398%,-46%,57%
APG,3,Lợi nhuận trên cổ phiếu (EPS),-82%,-100%,206%,65%,914%
APG,4,Vốn chủ sở hữu,3%,0%,22%,8%,5%
APG,5,Tiền mặt,-27%,-10%,10%,-39%,"2,801%"
APG,1,Cổ tức tiền mặt,N/A,N/A,N/A,N/A,N/A
APG,2,Tăng trưởng giá cổ phiếu,-6%,26%,-12%,21%,68%
APS,1,Tài sản ngắn hạn/Tổng tài sản,97%,97%,96%,95%,95%
APS,2,Tài sản dài hạn/Tổng tài sản,3%,3%,4%,5%,5%
APS,3,Nợ phải trả/Tổng nguồn vốn,3%,2%,24%,20%,17%
APS,4,Nợ phải trả/Vốn chủ sở hữu,3%,2%,32%,25%,21%
APS,5,Vốn chủ sở hữu/Tổng nguồn vốn,97%,98%,76%,80%,83%
APS,6,Thanh toán hiện hành,"4,803%","4,357%",391%,467%,555%
APS,7,Thanh toán nhanh,"4,803%","4,357%",391%,467%,555%
APS,8,Thanh toán nợ ngắn hạn,208%,59%,90%,82%,93%
APS,9,Vòng quay Tổng tài sản,11%,12%,9%,11%,6%
APS,10,Vòng quay tài sản ngắn hạn,11%,12%,10%,11%,7%
APS,11,Vòng quay vốn chủ sở hữu,11%,14%,12%,13%,8%
APS,12,Vòng quay Hàng tồn kho,0%,0%,0%,0%,0%
APS,13,Lợi nhuận trước thuế/Doanh thu thuần,-5%,5%,15%,40%,47%
APS,14,Lợi nhuận sau thuế/Doanh thu thuần,-5%,5%,15%,40%,47%
APS,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),3%,1%,1%,4%,3%
APS,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),3%,1%,2%,5%,3%
APS,1,Lợi nhuận trên vốn đầu tư (ROIC),-5%,8%,25%,83%,143%
APS,2,Tỷ lệ tăng trưởng doanh thu,513%,14%,-4%,83%,-20%
APS,3,Lợi nhuận trên cổ phiếu (EPS),267%,-66%,-68%,82%,7%
APS,4,Vốn chủ sở hữu,4%,1%,2%,5%,4%
APS,5,Tiền mặt,306%,-95%,43%,14%,-6%
APS,1,Cổ tức tiền mặt,N/A,N/A,N/A,N/A,N/A
APS,2,Tăng trưởng giá cổ phiếu,30%,-23%,-40%,25%,14%
ASA,1,Tài sản ngắn hạn/Tổng tài sản,39%,48%,42%,43%,39%
ASA,2,Tài sản dài hạn/Tổng tài sản,61%,52%,58%,57%,61%
ASA,3,Nợ phải trả/Tổng nguồn vốn,11%,27%,18%,22%,16%
ASA,4,Nợ phải trả/Vốn chủ sở hữu,12%,37%,22%,28%,18%
ASA,5,Vốn chủ sở hữu/Tổng nguồn vốn,89%,73%,82%,78%,84%
ASA,6,Thanh toán hiện hành,354%,179%,233%,204%,255%
ASA,7,Thanh toán nhanh,235%,128%,121%,109%,183%
ASA,8,Thanh toán nợ ngắn hạn,188%,8%,25%,5%,14%
ASA,9,Vòng quay Tổng tài sản,6%,112%,154%,141%,357%
ASA,10,Vòng quay tài sản ngắn hạn,15%,249%,365%,344%,633%
ASA,11,Vòng quay vốn chủ sở hữu,7%,145%,193%,174%,483%
ASA,12,Vòng quay Hàng tồn kho,43%,656%,757%,885%,"1,522%"
ASA,13,Lợi nhuận trước thuế/Doanh thu thuần,5%,2%,1%,1%,0%
ASA,14,Lợi nhuận sau thuế/Doanh thu thuần,4%,1%,1%,1%,0%
ASA,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),1%,1%,1%,1%,0%
ASA,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),1%,2%,1%,1%,0%
ASA,1,Lợi nhuận trên vốn đầu tư (ROIC),4%,1%,1%,1%,0%
ASA,2,Tỷ lệ tăng trưởng doanh thu,-69%,-24%,12%,-45%,157%
ASA,3,Lợi nhuận trên cổ phiếu (EPS),-64%,-3%,19%,107%,41%
ASA,4,Vốn chủ sở hữu,0%,1%,1%,1%,222%
ASA,5,Tiền mặt,505%,-45%,292%,-44%,137%
ASA,1,Cổ tức tiền mặt,N/A,N/A,1%,N/A,N/A
ASA,2,Tăng trưởng giá cổ phiếu,28%,-38%,-60%,-56%,21%
ASM,1,Tài sản ngắn hạn/Tổng tài sản,66%,67%,78%,79%,64%
ASM,2,Tài sản dài hạn/Tổng tài sản,34%,33%,22%,21%,36%
ASM,3,Nợ phải trả/Tổng nguồn vốn,51%,46%,38%,49%,58%
ASM,4,Nợ phải trả/Vốn chủ sở hữu,103%,85%,60%,95%,138%
ASM,5,Vốn chủ sở hữu/Tổng nguồn vốn,49%,54%,62%,51%,42%
ASM,6,Thanh toán hiện hành,168%,192%,328%,251%,189%
ASM,7,Thanh toán nhanh,108%,118%,220%,140%,100%
ASM,8,Thanh toán nợ ngắn hạn,12%,12%,51%,50%,5%
ASM,9,Vòng quay Tổng tài sản,10%,32%,28%,58%,70%
ASM,10,Vòng quay tài sản ngắn hạn,14%,45%,35%,79%,111%
ASM,11,Vòng quay vốn chủ sở hữu,18%,55%,48%,122%,164%
ASM,12,Vòng quay Hàng tồn kho,35%,94%,74%,147%,212%
ASM,13,Lợi nhuận trước thuế/Doanh thu thuần,16%,16%,12%,9%,3%
ASM,14,Lợi nhuận sau thuế/Doanh thu thuần,15%,12%,10%,7%,2%
ASM,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),2%,4%,2%,4%,2%
ASM,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),5%,7%,4%,7%,4%
ASM,1,Lợi nhuận trên vốn đầu tư (ROIC),17%,16%,12%,9%,3%
ASM,2,Tỷ lệ tăng trưởng doanh thu,-16%,61%,-22%,3%,0%
ASM,3,Lợi nhuận trên cổ phiếu (EPS),-22%,145%,-9%,399%,43%
ASM,4,Vốn chủ sở hữu,7%,9%,92%,80%,4%
ASM,5,Tiền mặt,-34%,-55%,21%,"1,412%",-53%
ASM,1,Cổ tức tiền mặt,N/A,N/A,N/A,N/A,5%
ASM,2,Tăng trưởng giá cổ phiếu,-21%,-11%,101%,66%,-6%
ASP,1,Tài sản ngắn hạn/Tổng tài sản,33%,38%,37%,49%,46%
ASP,2,Tài sản dài hạn/Tổng tài sản,67%,62%,63%,51%,54%
ASP,3,Nợ phải trả/Tổng nguồn vốn,63%,55%,50%,57%,67%
ASP,4,Nợ phải trả/Vốn chủ sở hữu,168%,124%,100%,130%,215%
ASP,5,Vốn chủ sở hữu/Tổng nguồn vốn,37%,45%,50%,43%,31%
ASP,6,Thanh toán hiện hành,55%,73%,81%,100%,87%
ASP,7,Thanh toán nhanh,51%,64%,69%,90%,76%
ASP,8,Thanh toán nợ ngắn hạn,10%,13%,15%,9%,12%
ASP,9,Vòng quay Tổng tài sản,52%,165%,158%,207%,240%
ASP,10,Vòng quay tài sản ngắn hạn,162%,442%,363%,437%,559%
ASP,11,Vòng quay vốn chủ sở hữu,124%,350%,339%,548%,747%
ASP,12,Vòng quay Hàng tồn kho,"1,654%","2,627%","2,531%","3,492%","4,737%"
ASP,13,Lợi nhuận trước thuế/Doanh thu thuần,3%,2%,-1%,1%,1%
ASP,14,Lợi nhuận sau thuế/Doanh thu thuần,2%,1%,-1%,0%,1%
ASP,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),4%,2%,-2%,0%,2%
ASP,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),12%,4%,-5%,1%,5%
ASP,1,Lợi nhuận trên vốn đầu tư (ROIC),2%,1%,-2%,0%,1%
ASP,2,Tỷ lệ tăng trưởng doanh thu,58%,0%,-26%,-7%,-1%
